,Traditional,Robust,DeepRob,True_Labels,AUC_traditional
0,0.4356605757794939,0.5380591586361607,0.3040226890320252,1,0.691358024691358
1,0.693661351817184,0.7298900959749806,0.28886640742348213,1,0.691358024691358
2,0.68321661348842,0.7773777430537048,0.2359340321952679,1,0.691358024691358
3,0.9907579257458203,0.5517910636384769,0.3069506613261752,1,0.691358024691358
4,0.6437023292920713,0.6397611182188374,0.3098936188976799,1,0.691358024691358
5,0.9409201873889339,0.5936374672619378,0.2686076517419125,1,0.691358024691358
6,0.898541528715566,0.6107969829005523,0.2638336515070022,1,0.691358024691358
7,0.09916109067343426,0.529774624385203,0.495289272493803,1,0.691358024691358
8,0.7187970487131382,0.5415247635799633,0.27129692814512674,1,0.691358024691358
9,0.7977453250747547,0.627197834697284,0.10842523691564271,1,0.691358024691358
10,0.6014083998715382,0.26874334005955924,0.24049123462612945,1,0.691358024691358
11,0.8753883641874964,0.6838149866427328,0.7848684262694299,1,0.691358024691358
12,0.0063531903266327,0.449826380454673,0.24600502745664707,1,0.691358024691358
13,0.7488763497164054,0.661942007572037,0.31212199206193375,1,0.691358024691358
14,0.8562640990253575,0.393506780040021,0.6669919807880667,1,0.691358024691358
15,0.5778412525482721,0.825038563588715,0.4079013340861799,1,0.691358024691358
16,0.4272143609900496,0.7204260822423776,0.43823148384705335,1,0.691358024691358
17,0.14536126125337773,0.6104225755710706,0.5199802042542139,1,0.691358024691358
18,0.9163040744492529,0.861023948888244,0.2062112759999435,1,0.691358024691358
19,0.825560687658804,0.6295644046610601,0.25253258309176596,1,0.691358024691358
20,0.7309858039792156,0.22994191889264196,0.41310541227375647,1,0.691358024691358
21,0.970653671542581,0.7245189661805675,0.5334411639791884,1,0.691358024691358
22,0.9646685252662682,0.615252889405536,0.2880138023883051,1,0.691358024691358
23,0.364751550157929,0.598693321246543,0.45979891782708104,1,0.691358024691358
24,0.9024566269569456,0.6489053855150636,0.3647046348423197,1,0.691358024691358
25,0.8111242484452699,0.5257217849540639,0.270318276003813,1,0.691358024691358
26,0.688369374186253,0.24729526731110163,0.29155737306313634,1,0.691358024691358
27,0.9127218476057323,0.6875966379111164,0.3542720832902103,1,0.691358024691358
