,0
glszm_HighGrayLevelZoneEmphasis,"['glcm_Autocorrelation', 'glcm_JointAverage', 'glcm_SumAverage', 'glrlm_HighGrayLevelRunEmphasis', 'glrlm_ShortRunHighGrayLevelEmphasis', 'gldm_HighGrayLevelEmphasis']"
glszm_LargeAreaEmphasis,"['glszm_ZoneVariance', 'gldm_LargeDependenceEmphasis']"
glszm_LargeAreaHighGrayLevelEmphasis,['gldm_LargeDependenceHighGrayLevelEmphasis']
glszm_LargeAreaLowGrayLevelEmphasis,['gldm_LargeDependenceLowGrayLevelEmphasis']
glszm_LowGrayLevelZoneEmphasis,"['glrlm_LowGrayLevelRunEmphasis', 'glrlm_ShortRunLowGrayLevelEmphasis', 'gldm_LowGrayLevelEmphasis']"
glszm_SizeZoneNonUniformity,"['ngtdm_Busyness', 'gldm_DependenceNonUniformity']"
glszm_SizeZoneNonUniformityNormalized,"['glcm_DifferenceEntropy', 'glcm_Id', 'glcm_Idm', 'glcm_Idn', 'glcm_InverseVariance', 'glszm_SmallAreaEmphasis', 'glszm_ZonePercentage', 'glrlm_RunLengthNonUniformityNormalized', 'glrlm_RunPercentage', 'glrlm_ShortRunEmphasis', 'gldm_DependenceNonUniformityNormalized', 'gldm_SmallDependenceEmphasis']"
glszm_SmallAreaEmphasis,"['glcm_DifferenceEntropy', 'glcm_Id', 'glcm_Idm', 'glcm_InverseVariance', 'glszm_SizeZoneNonUniformityNormalized', 'glszm_ZonePercentage', 'glrlm_LongRunEmphasis', 'glrlm_RunLengthNonUniformityNormalized', 'glrlm_RunPercentage', 'glrlm_RunVariance', 'glrlm_ShortRunEmphasis', 'gldm_DependenceVariance', 'gldm_SmallDependenceEmphasis']"
glszm_SmallAreaHighGrayLevelEmphasis,[]
glszm_SmallAreaLowGrayLevelEmphasis,['glrlm_ShortRunLowGrayLevelEmphasis']
glszm_ZoneEntropy,['gldm_DependenceEntropy']
glszm_ZonePercentage,"['glcm_DifferenceEntropy', 'glcm_Id', 'glcm_Idm', 'glcm_InverseVariance', 'glszm_SizeZoneNonUniformityNormalized', 'glszm_SmallAreaEmphasis', 'glrlm_LongRunEmphasis', 'glrlm_RunLengthNonUniformityNormalized', 'glrlm_RunPercentage', 'glrlm_RunVariance', 'glrlm_ShortRunEmphasis', 'gldm_DependenceVariance', 'gldm_LargeDependenceEmphasis', 'gldm_SmallDependenceEmphasis']"
glszm_ZoneVariance,['glszm_LargeAreaEmphasis']
glrlm_GrayLevelNonUniformity,"['glszm_GrayLevelNonUniformity', 'gldm_GrayLevelNonUniformity']"
glrlm_GrayLevelNonUniformityNormalized,"['firstorder_Entropy', 'firstorder_Uniformity', 'glszm_GrayLevelNonUniformityNormalized']"
glrlm_GrayLevelVariance,"['glcm_SumSquares', 'glszm_GrayLevelVariance', 'gldm_GrayLevelVariance']"
glrlm_HighGrayLevelRunEmphasis,"['glcm_Autocorrelation', 'glcm_JointAverage', 'glcm_SumAverage', 'glszm_HighGrayLevelZoneEmphasis', 'glrlm_ShortRunHighGrayLevelEmphasis', 'gldm_HighGrayLevelEmphasis']"
