,shape2D_Elongation,shape2D_MajorAxisLength,shape2D_MaximumDiameter,shape2D_MeshSurface,shape2D_MinorAxisLength,shape2D_Perimeter,shape2D_PerimeterSurfaceRatio,shape2D_PixelSurface,shape2D_Sphericity,firstorder_10Percentile,firstorder_90Percentile,firstorder_Energy,firstorder_Entropy,firstorder_InterquartileRange,firstorder_Kurtosis,firstorder_Maximum,firstorder_MeanAbsoluteDeviation,firstorder_Mean,firstorder_Median,firstorder_Minimum,firstorder_Range,firstorder_RobustMeanAbsoluteDeviation,firstorder_RootMeanSquared,firstorder_Skewness,firstorder_TotalEnergy,firstorder_Uniformity,firstorder_Variance,glcm_Autocorrelation,glcm_ClusterProminence,glcm_ClusterTendency,glcm_Contrast,glcm_Correlation,glcm_DifferenceAverage,glcm_DifferenceEntropy,glcm_DifferenceVariance,glcm_Id,glcm_Idm,glcm_Idmn,glcm_Idn,glcm_Imc1,glcm_Imc2,glcm_InverseVariance,glcm_JointAverage,glcm_JointEnergy,glcm_JointEntropy,glcm_MCC,glcm_MaximumProbability,glcm_SumAverage,glcm_SumEntropy,glcm_SumSquares,glszm_GrayLevelNonUniformity,glszm_GrayLevelNonUniformityNormalized,glszm_GrayLevelVariance,glszm_HighGrayLevelZoneEmphasis,glszm_LargeAreaEmphasis,glszm_LargeAreaHighGrayLevelEmphasis,glszm_LargeAreaLowGrayLevelEmphasis,glszm_LowGrayLevelZoneEmphasis,glszm_SizeZoneNonUniformity,glszm_SizeZoneNonUniformityNormalized,glszm_SmallAreaEmphasis,glszm_SmallAreaHighGrayLevelEmphasis,glszm_SmallAreaLowGrayLevelEmphasis,glszm_ZoneEntropy,glszm_ZonePercentage,glszm_ZoneVariance,glrlm_GrayLevelNonUniformity,glrlm_GrayLevelNonUniformityNormalized,glrlm_GrayLevelVariance,glrlm_HighGrayLevelRunEmphasis,glrlm_LongRunEmphasis,glrlm_LongRunHighGrayLevelEmphasis,glrlm_LongRunLowGrayLevelEmphasis,glrlm_LowGrayLevelRunEmphasis,glrlm_RunEntropy,glrlm_RunLengthNonUniformity,glrlm_RunLengthNonUniformityNormalized,glrlm_RunPercentage,glrlm_RunVariance,glrlm_ShortRunEmphasis,glrlm_ShortRunHighGrayLevelEmphasis,glrlm_ShortRunLowGrayLevelEmphasis,ngtdm_Busyness,ngtdm_Coarseness,ngtdm_Complexity,ngtdm_Contrast,ngtdm_Strength,gldm_DependenceEntropy,gldm_DependenceNonUniformity,gldm_DependenceNonUniformityNormalized,gldm_DependenceVariance,gldm_GrayLevelNonUniformity,gldm_GrayLevelVariance,gldm_HighGrayLevelEmphasis,gldm_LargeDependenceEmphasis,gldm_LargeDependenceHighGrayLevelEmphasis,gldm_LargeDependenceLowGrayLevelEmphasis,gldm_LowGrayLevelEmphasis,gldm_SmallDependenceEmphasis,gldm_SmallDependenceHighGrayLevelEmphasis,gldm_SmallDependenceLowGrayLevelEmphasis
firstorder_Uniformity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991212696607745,,,,,,,,,,,,,,,,0.9999517086507748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firstorder_Variance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_Autocorrelation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994033402967562,,,,,,,,,,,,,,,,0.9946590660665113,,,,,,,,,,,,,,,,,,,,,,,,0.9948447818473974,,,,,,,
glcm_ClusterProminence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_ClusterTendency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_Contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998343304168488,,,0.9997418781857227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_Correlation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_DifferenceAverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9905787647627496,0.999322534763094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9980542402124989,,,,,,,,,,,
glcm_DifferenceEntropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962252414918611,,,0.9918133277377489,,,0.9910708229259921,,,,,,,,,,,,,,,,,,0.9923730610422097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9920781740052583,,,,,,,,,0.9979966599576027,,
glcm_DifferenceVariance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998343304168488,,,,,,,0.9995220962471161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9962252414918611,,,0.9983348191197853,,,,,0.9988374457718402,,,,,,,,,,,,,,,,,,0.9922181172178695,0.9939772449854861,,,,0.9939528941506994,,,,,,,,,,,,0.9928588866175982,0.9907628490440844,,0.9904728244008335,,,,,,,,,,,,,,,,,,,0.9918039487114766,,
glcm_Idm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9983348191197853,,,,,,0.9998838016025832,,,,,,,,,,,,,,,,,,,0.9929674547375931,,,,0.994993462595553,,,,,,0.9907406703001567,,,,,,0.9947535809679774,0.9944367733675827,,0.9942781323159736,,,,,,,,,,,0.9957978736276225,,,,,,,,,,
glcm_Idmn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9997418781857227,,0.9905787647627496,,0.9995220962471161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_Idn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999322534763094,0.9918133277377489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9991626568413933,,,,,,,,,0.9939397637677191,,
glcm_Imc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_Imc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_InverseVariance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9910708229259921,,0.9988374457718402,0.9998838016025832,,,,,,,,,,,,,,,,,,,,,,,,0.9933293608070759,,,,0.9949241489492354,,,,,,,,,,,,0.9945223536349443,0.9938226469263041,,0.993658563704171,,,,,,,,,,,0.9946393872386973,,,,,,,,,,
glcm_JointAverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999383866005419,,,,,,0.9938106568331739,,,,,,,,,,,,,,,,0.9937956294548111,,,,,,,,,,,,,,,,,,,,,,,,0.9937924768955009,,,,,,,
glcm_JointEnergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9908814296085355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_JointEntropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_MCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_MaximumProbability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9908814296085355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_SumAverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999383866005419,,,,,,,,,,,0.9940486783230817,,,,,,,,,,,,,,,,0.9940146112345954,,,,,,,,,,,,,,,,,,,,,,,,0.9940043547015459,,,,,,,
glcm_SumEntropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm_SumSquares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99885358842323,,,,,,,,,,,,,,,,0.9996598474942859,,,,,,,,,,,,,,,,,,,,,,,,0.9996387408344712,,,,,,,,
glszm_GrayLevelNonUniformity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9947661145772017,,,,,,,,,,,,,,,,,,,,,,,,,0.9908531128170118,,,,,,,,,
glszm_GrayLevelNonUniformityNormalized,,,,,,,,,,,,,0.9905157242696696,,,,,,,,,,,,,0.9991212696607745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999483888004668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm_GrayLevelVariance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99885358842323,,,,,,,,,,,,,,,,,,,0.9993446476489717,,,,,,,,,,,,,,,,,,,,,,,,0.9988069889989342,,,,,,,,
glszm_HighGrayLevelZoneEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994033402967562,,,,,,,,,,,,,,,0.9938106568331739,,,,,0.9940486783230817,,,,,,,,,,,,,,,,,,,,,,0.9999505196173352,,,,,,,,,,,,,,,,,,,,,,,,0.9999120616621382,,,,,,,
glszm_LargeAreaEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9972181696835439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm_LargeAreaHighGrayLevelEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm_LargeAreaLowGrayLevelEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm_LowGrayLevelZoneEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994677364867713,,,,,,,,0.9951938331514,,,,,,,,,,,,,,,,0.9991118651494344,,,
glszm_SizeZoneNonUniformity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9964711506795351,,,,,,,,,,,,
glszm_SizeZoneNonUniformityNormalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9923730610422097,,0.9922181172178695,,,,,,,,,,,,,,,,,,,,,,,,,0.9978999716970672,,,,0.9947264728397248,,,,,,,,,,,,0.9930492730806095,,,,,,,,,,,,,,,,,,,,,,0.9925788778123646,,
glszm_SmallAreaEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9939772449854861,0.9929674547375931,,,,,0.9933293608070759,,,,,,,,,,,,,,,,,,0.9978999716970672,,,,,0.9991646125848005,,,,,,,,,,,,0.9984381581711549,0.9962251170058198,,0.9960554964049778,,,,,,,,,,,,,,,,,,,,,
glszm_SmallAreaHighGrayLevelEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm_SmallAreaLowGrayLevelEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm_ZoneEntropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm_ZonePercentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9939528941506994,0.994993462595553,,,,,0.9949241489492354,,,,,,,,,,,,,,,,,,0.9947264728397248,0.9991646125848005,,,,,,,,,,0.9939885788681074,,,,,,0.9998507161274479,0.9988659216724751,0.9921568502356324,0.9987518602732035,,,,,,,,,,,,,,,,,,,,,
glszm_ZoneVariance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9972181696835439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glrlm_GrayLevelNonUniformity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9947661145772017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9994538452628472,,,,,,,,,
glrlm_GrayLevelNonUniformityNormalized,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999517086507748,,,,,,,,,,,,,,,,,,,,,,,,,,0.999483888004668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glrlm_GrayLevelVariance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996598474942859,,,0.9993446476489717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999197797940411,,,,,,,,
glrlm_HighGrayLevelRunEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9946590660665113,,,,,,,,,,,,,,,0.9937956294548111,,,,,0.9940146112345954,,,,,,0.9999505196173352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999943139025018,,,,,,,
glrlm_LongRunEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9907406703001567,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9939885788681074,,,,,,,,,,,,0.995492812530805,0.9980448566581325,0.9998636923808691,0.9981549750731259,,,,,,,,,,,0.9941200386163243,,,,0.9944412415474518,,,,,,
glrlm_LongRunHighGrayLevelEmphasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
